Subject ID,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0100451,dsc_1_rest_645,0.019,0.121,3,0.003,0,0.157,0.712,0.026,0.0819,0.0358,0.1126,0.0299,0.1577,0.000402,6.00E-05,0.000508,7.20E-05,0.000401,-0.000212,0.2408,0.1082,0.2577,0.1912,0.2066,0.2462,0.092025,0.026978,0.107842,0.039165,0.076774,0.039366,0.0788,5,0.2808,0.1322,0.5549,40.0018,0.0499
0101463,dsc_1_rest_645,0.021,0.052,0,0.005,-0.004,0.092,0.124,0.01,0.0262,0.0093,0.0602,0.0079,0.0577,-0.00196,0.00465,-0.00023,0.0045,-0.00061,-0.00891,0.0176,0.0303,0.0115,0.0676,0.0095,0.0758,0.007309,0.016145,0.004009,0.038309,0.005118,0.029836,0.0556,0,0.2358,0.1221,0,31.9835,0.0313
0101783,dsc_1_rest_645,0.028,0.156,6,0.005,-0.001,0.184,1.034,0.0301,0.143,0.028,0.0767,0.0211,0.277,-1.00E-05,0.000643,0.000148,-0.000346,2.40E-05,-0.000543,0.0906,0.4485,0.1045,0.3086,0.0851,0.3697,0.034934,0.128415,0.031292,0.106902,0.030918,0.109884,0.0924,10,0.304,0.1526,1.1099,25.5777,0.066
0102019,dsc_1_rest_645,0.06,0.263,151,0.017,-0.001,0.663,2.611,0.0872,0.2301,0.0735,0.4316,0.0653,0.2248,-5.70E-05,-0.001299,0.000835,0.001849,0.00017,-0.000556,0.2493,0.9261,0.469,1.4243,0.1285,0.4035,0.120589,0.495736,0.185461,0.497883,0.042259,0.101256,0.1644,284,0.4055,0.2859,31.5205,37.5009,0.0845
0103347,dsc_1_rest_645,0.093,0.339,349,0.015,0,0.536,2.165,0.0614,0.3112,0.125,0.4091,0.0837,0.2528,-8.90E-05,-0.002394,0.000132,0.000573,0.000164,-8.20E-05,0.1193,1.1977,0.231,0.5673,0.1391,0.2177,0.03538,0.473247,0.046137,0.197595,0.045564,0.066942,0.2289,510,0.4784,0.3741,56.6038,40.4794,0.1398
0103365,dsc_1_rest_645,0.014,0.055,0,0.004,0,0.081,0.556,0.0189,0.0362,0.0148,0.0399,0.0141,0.0668,-0.000162,-0.000248,-4.40E-05,-0.000227,-0.000236,-0.000459,0.1056,0.132,0.0751,0.1573,0.127,0.293,0.032956,0.077178,0.025847,0.059429,0.05286,0.091113,0.0526,0,0.2293,0.0867,0,35.2777,0.0313
0103384,dsc_1_rest_645,0.026,0.162,6,0.007,0,0.248,0.693,0.0653,0.1127,0.0592,0.5318,0.0634,0.2968,-0.000302,0.000268,-9.90E-05,-0.000141,-8.70E-05,-0.000482,0.2483,0.1969,0.0869,0.3775,0.1188,0.3419,0.054157,0.069795,0.026779,0.06123,0.033434,0.127011,0.0932,26,0.3053,0.1654,2.8857,33.3616,0.0546
0103525,dsc_1_rest_645,0.031,0.16,4,0.005,0,0.33,1.406,0.178,0.1338,0.1147,0.1605,0.1114,0.1427,-0.00039,-0.000386,-0.000187,-0.000509,-0.000264,-0.001177,0.2962,0.6798,0.3422,0.5742,0.3657,0.6227,0.121123,0.105734,0.07395,0.114893,0.089357,0.240709,0.0899,11,0.2999,0.1438,1.2209,29.481,0.0578
0105356,dsc_1_rest_645,0.031,0.115,1,0.006,-0.001,0.174,1.038,0.0287,0.0625,0.0155,0.0522,0.0119,0.1202,-0.000147,-0.000485,-7.00E-05,0.000371,-4.60E-05,-0.000378,0.0908,0.3413,0.0626,0.3625,0.0368,0.2896,0.027946,0.130361,0.01754,0.091577,0.011308,0.076949,0.0789,0,0.281,0.1329,0,33.2153,0.0484
0106459,dsc_1_rest_645,0.014,0.13,3,0.007,-0.001,0.138,1.276,0.0497,0.0845,0.0996,0.1611,0.0327,0.0866,-0.000412,0.000733,-5.60E-05,-0.000414,-0.000147,-0.000632,0.2422,0.5486,0.2465,0.3547,0.1187,0.4301,0.088418,0.190089,0.120724,0.15886,0.037956,0.129879,0.0592,5,0.2433,0.0997,0.5549,37.7433,0.0344
